id,full_name,p_b,job,country,state,city,series,no_of_units,marketing,warranty
57,Noella Goldie,Personal,Student,United States,California,Huntington Beach,Alienware,2,Tech Blogs,12
58,Dari Infante,Personal,Game developer,Canada,Ontario,Newmarket,Dell Storage,1,Tech Blogs,36
59,Zolly Wallicker,Business,Game developer,United States,California,Fresno,Inspiron,91,Tech Blogs,36
60,Freddi Zorzetti,Personal,Chef,Canada,Ontario,Kapuskasing,Alienware,2,Tech Blogs,36
61,Bren Bamber,Personal,Chef,Canada,Ontario,Innisfil,Alienware,2,Tech Blogs,6
62,Doreen Lifsey,Personal,Chef,Canada,Ontario,Aylmer,Alienware,2,Tech Blogs,12
63,Janifer Terram,Personal,Student,United States,California,Santa Barbara,Dell Storage,1,Tech Blogs,36
64,Roanne Fransman,Personal,Chef,United States,California,Orange,Chromebook,1,Tech Blogs,36
65,Karena Kilty,Business,Software Engineer,Canada,Ontario,Willowdale,Chromebook,69,Tech Blogs,24
66,Alexio Dangl,Personal,Software Engineer,United States,California,Bakersfield,Dell Security,2,Tech Blogs,6
67,Thorpe Blinco,Business,Software Engineer,United States,California,Los Angeles,Inspiron,38,Tech Blogs,6
68,Bronson Oake,Business,Game developer,United States,California,San Diego,Inspiron,39,Social Networks,36
69,Ambrose Crinage,Personal,Chef,United States,California,Bakersfield,Alienware,1,Tech Blogs,36
70,Todd Honnan,Business,Software Engineer,United States,California,Corona,Dell Security,54,Tech Blogs,24
71,Baxy Miebes,Business,Software Engineer,Canada,Ontario,Hearst,Chromebook,92,Social Networks,6
72,Raf Jaher,Business,Software Engineer,United States,California,Fresno,Inspiron,91,Tech Blogs,36
73,Chrissie Lawler,Business,Software Engineer,United States,California,San Diego,Dell Storage,45,Tech Blogs,36
74,Danielle Jatczak,Business,Game developer,United States,California,Bakersfield,XPS,48,Tech Blogs,24
75,Milo Harding,Business,Game developer,Canada,Ontario,Thorold,Dell Storage,90,Tech Blogs,6
76,Sergio Jennrich,Business,Software Engineer,Canada,Ontario,Oakville,Dell Storage,50,Tech Blogs,12
77,Gertrude Gothrup,Personal,Student,United States,California,San Francisco,Chromebook,1,Tech Blogs,36
78,Wanids Bartle,Personal,Game developer,Canada,Ontario,Thessalon,XPS,2,Tech Blogs,12
79,Bran Manion,Personal,Chef,Canada,Ontario,Keswick,Alienware,1,Tech Blogs,12
80,Eunice Theseira,Business,Game developer,Canada,Ontario,Rayside-Balfour,Chromebook,90,Tech Blogs,6
81,Pooh O'Luney,Business,Software Engineer,United States,California,Oakland,Chromebook,27,Social Networks,24
82,Hazel Notman,Personal,Chef,United States,California,Santa Barbara,Inspiron,2,Tech Blogs,6
83,Terri-jo Smallwood,Personal,Student,United States,California,Fullerton,Dell Storage,2,Tech Blogs,24
84,Gwendolen Simcoe,Personal,Student,Canada,Ontario,Mississauga,Alienware,2,Tech Blogs,36
85,Sasha McOnie,Personal,Chef,United States,California,Sacramento,Inspiron,1,Tech Blogs,12
86,Rita Ashcroft,Business,Game developer,Canada,Ontario,Timmins,Dell Storage,67,Tech Blogs,12
87,Win Baldam,Personal,Student,Canada,Ontario,Casselman,Dell Storage,2,Tech Blogs,36
88,Giff Rickett,Personal,Chef,United States,California,Huntington Beach,Chromebook,2,Tech Blogs,36
89,Wilton Kembley,Personal,Game developer,United States,California,Santa Barbara,Dell Storage,2,Tech Blogs,12
90,Ivett Champ,Personal,Game developer,Canada,Ontario,Windsor,Chromebook,2,Tech Blogs,6
91,Frasquito Orrow,Personal,Chef,United States,California,Fresno,Chromebook,1,Tech Blogs,6
92,Haslett Samart,Personal,Software Engineer,United States,California,Sacramento,Dell Storage,2,Tech Blogs,6
93,Elisabeth Lockitt,Business,Software Engineer,United States,California,Los Angeles,Inspiron,45,Tech Blogs,24
94,Milzie Hurtado,Personal,Game developer,Canada,Ontario,Hanover,Dell Security,2,Tech Blogs,12
95,Fernanda Herche,Business,Software Engineer,United States,California,San Jose,Dell Storage,82,Tech Blogs,6
96,Humberto Ballintime,Personal,Game developer,Canada,Ontario,Picton,Alienware,2,Tech Blogs,6
97,Luisa Lindsell,Business,Software Engineer,United States,California,Los Angeles,Alienware,52,Tech Blogs,24
98,Tandie Sturges,Business,Game developer,United States,California,Huntington Beach,Dell Storage,29,Tech Blogs,24
99,Gauthier Ceaplen,Business,Game developer,United States,California,San Jose,XPS,66,Tech Blogs,24
100,Bogart Torry,Personal,Student,United States,California,Burbank,Chromebook,2,Tech Blogs,12
101,Heriberto Phipp,Personal,Game developer,Canada,Ontario,Casselman,XPS,1,Tech Blogs,24
102,Ulrika Bamborough,Personal,Game developer,Canada,Ontario,Mattawa,Inspiron,1,Tech Blogs,36
103,Antonino Brimble,Business,Software Engineer,United States,California,San Diego,Alienware,57,Tech Blogs,12
104,Sherm Skitteral,Business,Software Engineer,Canada,Ontario,Woodstock,XPS,97,Tech Blogs,24
105,Woodie Gouldstone,Personal,Chef,United States,California,Chico,Chromebook,1,Tech Blogs,6
106,Reed Benitez,Business,Game developer,Canada,Ontario,Petawawa,XPS,96,Tech Blogs,6
107,Annecorinne Howles,Business,Game developer,Canada,Ontario,Newmarket,Alienware,84,Tech Blogs,12
108,Marne Scurman,Business,Software Engineer,United States,California,Sacramento,XPS,60,Tech Blogs,36
109,Julianna Piatkow,Business,Software Engineer,Canada,Ontario,Omemee,Inspiron,73,Tech Blogs,6
110,Nerty Maciaszczyk,Business,Software Engineer,United States,California,Garden Grove,Chromebook,90,Tech Blogs,12
111,Wilhelm Garland,Business,Software Engineer,United States,California,Mountain View,Alienware,49,Tech Blogs,36
112,Abby Rodear,Business,Game developer,United States,California,San Jose,XPS,37,Tech Blogs,36
113,Amie Cocke,Personal,Game developer,United States,California,Sacramento,Dell Security,2,Tech Blogs,36
114,Currey Derill,Business,Software Engineer,United States,California,Chico,XPS,60,Social Networks,24
115,Addy Sussems,Business,Game developer,Canada,Ontario,St. Catharines,Dell Security,94,Tech Blogs,6
116,Ethelin Vinter,Business,Software Engineer,Canada,Ontario,South River,Dell Storage,99,Tech Blogs,6
117,Maisey Giovani,Business,Software Engineer,United States,California,Stockton,XPS,43,Tech Blogs,12
118,Nell Fenkel,Personal,Game developer,Canada,Ontario,Casselman,Inspiron,2,Tech Blogs,24
119,Suzanna Canet,Personal,Chef,Canada,Ontario,Hearst,Dell Security,1,Social Networks,36
120,Karin Diego,Business,Software Engineer,United States,California,Whittier,Chromebook,84,Tech Blogs,6
121,Dionisio Verlinde,Personal,Chef,Canada,Ontario,Vaughan,Dell Storage,1,Tech Blogs,24
122,Welsh Blowes,Personal,Game developer,United States,California,San Jose,XPS,2,Tech Blogs,36
123,Raddie Drance,Business,Game developer,Canada,Ontario,Skatepark,XPS,33,Social Networks,6
124,Zackariah Sidgwick,Business,Game developer,United States,California,Fresno,Alienware,98,Tech Blogs,24
125,Padraic Shervington,Personal,Software Engineer,Canada,Ontario,Bells Corners,Inspiron,1,Tech Blogs,12
126,Parsifal Colquitt,Business,Game developer,United States,California,Bakersfield,Dell Security,96,Tech Blogs,24
127,Griswold Brookshaw,Business,Software Engineer,Canada,Ontario,Markham,Chromebook,77,Tech Blogs,24
128,Trent Beathem,Personal,Game developer,Canada,Ontario,Iroquois Falls,Dell Security,1,Tech Blogs,36
129,Pattin McUre,Personal,Software Engineer,Canada,Ontario,Rayside-Balfour,Inspiron,2,Social Networks,12
130,Editha Faulconer,Business,Software Engineer,Canada,Ontario,Thorold,Inspiron,67,Tech Blogs,36
131,Lanette Hakonsen,Personal,Game developer,Canada,Ontario,Powassan,Inspiron,2,Tech Blogs,24
132,Mariska Josovich,Personal,Game developer,Canada,Ontario,Collingwood,Alienware,1,Tech Blogs,6
133,Mireille Smeaton,Business,Software Engineer,United States,California,Fullerton,Dell Storage,43,Tech Blogs,24
134,Margot Yearron,Business,Game developer,Canada,Ontario,Barrie,Dell Storage,33,Tech Blogs,6
135,Casper Kibbee,Personal,Game developer,Canada,Ontario,Petrolia,Alienware,1,Tech Blogs,6
136,Worthy Pearmain,Personal,Chef,United States,California,Oakland,Chromebook,1,Social Networks,12
137,Frants Cowans,Business,Game developer,Canada,Ontario,Casselman,Inspiron,23,Tech Blogs,24
138,Lilli Sorrel,Business,Software Engineer,Canada,Ontario,Neebing,Dell Storage,36,Tech Blogs,12
139,Dalis Manthroppe,Personal,Game developer,United States,California,Los Angeles,Inspiron,1,Tech Blogs,36
140,Trude Jermey,Business,Game developer,United States,California,Sacramento,Dell Security,49,Tech Blogs,6
141,Vita Beilby,Business,Software Engineer,United States,California,San Diego,Inspiron,34,Tech Blogs,24
142,Darice Kordes,Personal,Game developer,United States,California,Van Nuys,Dell Storage,2,Tech Blogs,36
143,Lars Strelitz,Personal,Chef,Canada,Ontario,Markham,Inspiron,2,Tech Blogs,24
144,Mareah Rupert,Personal,Software Engineer,Canada,Ontario,Barrie,Dell Security,2,Tech Blogs,36
145,Nissa Marians,Personal,Student,United States,California,Van Nuys,XPS,1,Tech Blogs,36
146,Zsa zsa Covill,Personal,Game developer,Canada,Ontario,Clarence-Rockland,Chromebook,2,Tech Blogs,12
147,Pet Pestricke,Business,Software Engineer,Canada,Ontario,Camlachie,Alienware,37,Tech Blogs,6
148,Marcella Houlridge,Business,Software Engineer,United States,California,Sacramento,Inspiron,70,Social Networks,36
149,Lebbie Frankcomb,Personal,Software Engineer,Canada,Ontario,Casselman,Alienware,2,Tech Blogs,12
150,Georas Stedmond,Personal,Chef,Canada,Ontario,Belleville,Dell Security,1,Tech Blogs,6
151,Monique Millard,Business,Software Engineer,Canada,Ontario,Barrie,Chromebook,67,Tech Blogs,36
152,Aksel Golde,Personal,Chef,Canada,Ontario,Prince Edward,Chromebook,2,Tech Blogs,36
153,Andros Glaum,Personal,Chef,United States,California,Santa Barbara,Chromebook,1,Tech Blogs,6
154,Otho Bodemeaid,Business,Game developer,Canada,Ontario,St. Catharines,Alienware,93,Tech Blogs,6
155,Aurora Castane,Personal,Game developer,Canada,Ontario,Fort Erie,Inspiron,1,Tech Blogs,36
156,Mickie Menico,Personal,Software Engineer,Canada,Ontario,Toronto,Inspiron,1,Tech Blogs,24
157,Desi Champness,Business,Software Engineer,United States,California,Fullerton,Inspiron,46,Tech Blogs,24
158,Devlen Carnow,Business,Game developer,United States,California,Sacramento,Dell Security,63,Social Networks,36
159,Queenie Agneau,Business,Software Engineer,United States,California,San Francisco,Alienware,60,Tech Blogs,24
160,Shawnee Gear,Personal,Software Engineer,Canada,Ontario,Innisfil,Chromebook,1,Tech Blogs,6
161,Claudie Crowdy,Business,Game developer,Canada,Ontario,Deep River,Chromebook,100,Tech Blogs,36
162,Linette Papa,Personal,Software Engineer,United States,California,Santa Cruz,Inspiron,1,Tech Blogs,6
163,Raff Van Waadenburg,Business,Game developer,United States,California,Garden Grove,Chromebook,30,Tech Blogs,6
164,Karrah Jain,Personal,Student,United States,California,San Diego,Inspiron,2,Tech Blogs,36
165,Nissy Frankling,Business,Software Engineer,United States,California,Inglewood,Dell Security,32,Tech Blogs,36
166,Benita Ingerfield,Personal,Student,United States,California,San Francisco,Dell Storage,1,Social Networks,12
167,Cristin De Caroli,Personal,Chef,United States,California,Corona,Dell Security,2,Tech Blogs,12
168,Esdras Vials,Business,Game developer,Canada,Ontario,Kingston,Chromebook,23,Tech Blogs,24
169,Kerby Serraillier,Personal,Chef,United States,California,Van Nuys,Chromebook,2,Tech Blogs,6
170,Clemente Bebbington,Personal,Chef,Canada,Ontario,Smiths Falls,Dell Security,1,Tech Blogs,24
171,Bevon Snelle,Business,Game developer,Canada,Ontario,Dorchester,XPS,31,Tech Blogs,6
172,Allyson Blakeley,Business,Software Engineer,Canada,Ontario,Sarnia,Inspiron,42,Tech Blogs,12
173,Kerianne Lednor,Personal,Software Engineer,United States,California,Salinas,Dell Security,2,Tech Blogs,36
174,Bentley Fransseni,Business,Software Engineer,United States,California,San Jose,XPS,50,Tech Blogs,36
175,Gray Trumble,Personal,Software Engineer,Canada,Ontario,Clarence-Rockland,Chromebook,2,Tech Blogs,6
176,Julius Busain,Business,Game developer,Canada,Ontario,Powassan,XPS,56,Tech Blogs,36
177,Jennica Cake,Personal,Chef,Canada,Ontario,Mattawa,Dell Storage,2,Tech Blogs,12
178,Ruddy Povlsen,Business,Software Engineer,Canada,Ontario,Pembroke,Alienware,100,Tech Blogs,36
179,Pepita Iceton,Personal,Game developer,United States,California,San Jose,Dell Storage,2,Tech Blogs,12
180,Rustin Whiteson,Personal,Game developer,Canada,Ontario,Carleton Place,Dell Storage,2,Tech Blogs,12
181,Danica Gerbi,Business,Game developer,United States,California,Los Angeles,XPS,68,Tech Blogs,24
182,Paulita Jeremaes,Business,Software Engineer,Canada,Ontario,Thessalon,Dell Security,87,Tech Blogs,24
183,Ole Lowers,Personal,Student,United States,California,Los Angeles,XPS,2,Tech Blogs,12
184,Shay Bindon,Personal,Chef,United States,California,Simi Valley,Dell Security,2,Tech Blogs,12
185,Hershel Lude,Business,Game developer,United States,California,Los Angeles,Chromebook,36,Tech Blogs,24
186,Gregorius Dunderdale,Personal,Student,United States,California,Anaheim,Alienware,1,Tech Blogs,6
187,Osgood Probbings,Business,Software Engineer,United States,California,Alhambra,XPS,77,Tech Blogs,36
188,Layton Rameaux,Business,Software Engineer,United States,California,San Jose,Dell Storage,41,Tech Blogs,36
189,Donetta Beidebeke,Business,Game developer,Canada,Ontario,Ottawa,Alienware,64,Tech Blogs,6
190,Tris Flatt,Personal,Chef,United States,California,Los Angeles,Dell Storage,2,Tech Blogs,12
191,Doro Taphouse,Business,Software Engineer,United States,California,Santa Cruz,Dell Security,28,Tech Blogs,6
192,Terri Jewell,Business,Game developer,Canada,Ontario,Innisfil,XPS,88,Social Networks,6
193,Meridel Stockau,Personal,Software Engineer,United States,California,Los Angeles,Dell Security,1,Tech Blogs,12
194,Teressa Brunn,Personal,Chef,Canada,Ontario,Toronto,Dell Security,2,Tech Blogs,36
195,Ester Josefovic,Business,Software Engineer,United States,California,Burbank,Inspiron,34,Tech Blogs,6
196,Ozzie Jansen,Business,Game developer,United States,California,Long Beach,Chromebook,58,Tech Blogs,36
197,Burr Wherton,Personal,Chef,United States,California,San Bernardino,Alienware,2,Tech Blogs,24
198,Merci Berns,Business,Game developer,Canada,Ontario,Petrolia,Dell Storage,32,Tech Blogs,36
199,Issie O'Neil,Personal,Game developer,United States,California,San Francisco,Inspiron,1,Tech Blogs,36
200,Chicky Batterson,Business,Game developer,United States,California,Orange,Dell Security,87,Tech Blogs,36
201,Byron Daen,Business,Game developer,Canada,Ontario,Lambton Shores,Dell Security,29,Tech Blogs,12
202,Jessika Walthew,Personal,Chef,Canada,Ontario,Oakville,Dell Security,1,Tech Blogs,6
203,Amory Hayzer,Personal,Game developer,Canada,Ontario,Concord,Alienware,1,Tech Blogs,24
204,Symon Skilling,Business,Game developer,United States,California,Salinas,Dell Security,80,Tech Blogs,6
205,Becka Jenicek,Personal,Chef,United States,California,Newport Beach,XPS,2,Tech Blogs,12
206,Bonnee Cloney,Business,Game developer,United States,California,Garden Grove,Alienware,86,Tech Blogs,6
207,Brenda Klezmski,Business,Game developer,United States,California,San Diego,Chromebook,58,Tech Blogs,24
208,Mag Crossingham,Personal,Chef,Canada,Ontario,Pembroke,Inspiron,1,Tech Blogs,6
209,Tad Piola,Business,Software Engineer,United States,California,Los Angeles,Dell Security,98,Tech Blogs,6
210,Rolfe Edworthy,Business,Software Engineer,Canada,Ontario,Ajax,Alienware,26,Tech Blogs,6
211,Vilhelmina Stormes,Business,Software Engineer,Canada,Ontario,Mississauga,Alienware,57,Social Networks,24
212,Omero Adamolli,Business,Software Engineer,United States,California,Sacramento,Alienware,48,Tech Blogs,6
213,Happy Mc Comb,Business,Game developer,Canada,Ontario,Aylmer,Dell Storage,89,Tech Blogs,24
214,Charlton Cawkwell,Personal,Chef,Canada,Ontario,Orillia,Chromebook,1,Tech Blogs,6
215,Jana MacManus,Personal,Game developer,United States,California,Los Angeles,XPS,1,Tech Blogs,12
216,Eulalie Lillgard,Business,Game developer,Canada,Ontario,Arnprior,Chromebook,52,Tech Blogs,6
217,Denny Hammerman,Business,Game developer,United States,California,Los Angeles,Dell Storage,39,Tech Blogs,24
218,Sarge Alday,Business,Software Engineer,Canada,Ontario,Napanee Downtown,Alienware,72,Social Networks,6
219,Hallie Woltering,Business,Software Engineer,United States,California,San Diego,Chromebook,40,Tech Blogs,24
220,Hana Sowter,Business,Software Engineer,United States,California,Whittier,Alienware,21,Tech Blogs,36
221,Louis Larcher,Business,Software Engineer,Canada,Ontario,Powassan,Alienware,98,Tech Blogs,12
222,Tab Dyster,Business,Game developer,United States,California,San Francisco,XPS,82,Tech Blogs,12
223,Ferguson Predohl,Business,Software Engineer,Canada,Ontario,Powassan,Dell Storage,52,Tech Blogs,6
224,Maribeth Swannick,Business,Software Engineer,United States,California,Los Angeles,Dell Storage,61,Tech Blogs,12
225,Paxon Farans,Personal,Game developer,Canada,Ontario,Marathon,Alienware,2,Tech Blogs,6
226,Lock Hewes,Business,Software Engineer,Canada,Ontario,Casselman,Dell Storage,36,Tech Blogs,12
227,Helena Ellse,Personal,Software Engineer,United States,California,Oakland,XPS,2,Social Networks,12
228,Rea Chritchlow,Business,Game developer,Canada,Ontario,Deep River,Dell Security,93,Tech Blogs,24
229,Pavia Heaslip,Business,Game developer,United States,California,San Jose,Alienware,64,Tech Blogs,12
230,Tersina Dulling,Business,Software Engineer,United States,California,Los Angeles,Dell Security,84,Tech Blogs,12
231,Avrit Carley,Business,Game developer,Canada,Ontario,Brampton,Inspiron,52,Tech Blogs,24
232,Modestia Nunn,Business,Software Engineer,United States,California,San Diego,Alienware,58,Social Networks,36
233,Nonna Thirwell,Business,Software Engineer,Canada,Ontario,Powassan,Dell Storage,52,Tech Blogs,6
234,Brigit McSharry,Business,Software Engineer,United States,California,San Diego,Chromebook,90,Tech Blogs,6
235,Hildagard de Leon,Personal,Software Engineer,United States,California,Glendale,Dell Security,2,Tech Blogs,12
236,Merrielle Enriquez,Personal,Chef,United States,California,Fresno,XPS,1,Tech Blogs,6
237,Tab Hallitt,Business,Game developer,United States,California,Los Angeles,Chromebook,58,Tech Blogs,12
238,Gerrard Mulryan,Personal,Student,United States,California,Simi Valley,Inspiron,2,Tech Blogs,12
239,Hertha Jambrozek,Personal,Software Engineer,United States,California,San Bernardino,XPS,1,Tech Blogs,6
240,Margo Josum,Personal,Game developer,Canada,Ontario,Willowdale,XPS,2,Tech Blogs,6
241,Loren Cordero,Business,Software Engineer,United States,California,Santa Rosa,Chromebook,98,Tech Blogs,36
242,Jacquenette Monksfield,Personal,Student,Canada,Ontario,Niagara Falls,XPS,1,Tech Blogs,36
243,Arluene Dimelow,Personal,Chef,United States,California,Fresno,Dell Security,1,Tech Blogs,6
244,Gael Fewings,Personal,Game developer,Canada,Ontario,North Perth,Dell Storage,2,Tech Blogs,12
245,Alberta Benedtti,Personal,Chef,United States,California,Bakersfield,Alienware,2,Tech Blogs,24
246,Florinda Earney,Business,Game developer,Canada,Ontario,Orillia,XPS,32,Tech Blogs,12
247,Dalli Bagnall,Personal,Software Engineer,United States,California,Anaheim,Inspiron,2,Tech Blogs,12
248,Red Cordle,Business,Software Engineer,Canada,Ontario,Rayside-Balfour,Dell Storage,62,Tech Blogs,24
249,Merridie Wildman,Personal,Chef,United States,California,San Francisco,Alienware,1,Tech Blogs,6
250,Justen Hissie,Personal,Game developer,United States,California,Garden Grove,Dell Security,1,Tech Blogs,6
251,Tessie Dudhill,Personal,Game developer,United States,California,Sacramento,Chromebook,2,Tech Blogs,6
252,Conway Lewton,Personal,Student,United States,California,San Jose,Alienware,2,Tech Blogs,24
253,Phillis Willcocks,Business,Software Engineer,United States,California,Pasadena,XPS,100,Tech Blogs,6
254,Sonnie Le Breton,Business,Game developer,United States,California,Sacramento,Alienware,89,Social Networks,24
255,Gertrudis Kither,Business,Software Engineer,Canada,Ontario,Neebing,Chromebook,45,Tech Blogs,12
256,Caspar Barclay,Business,Software Engineer,Canada,Ontario,Aylmer,XPS,91,Tech Blogs,6
257,Nicki Brankley,Business,Game developer,United States,California,Sunnyvale,Dell Storage,93,Tech Blogs,36
258,Cherianne Gotfrey,Personal,Student,United States,California,Los Angeles,Alienware,1,Tech Blogs,24
259,Queenie Bellanger,Personal,Game developer,United States,California,Corona,Chromebook,2,Social Networks,6
260,Fania Fratczak,Business,Software Engineer,Canada,Ontario,Atikokan,Dell Security,40,Tech Blogs,6
261,Darrick Hesse,Business,Game developer,Canada,Ontario,Renfrew,Chromebook,29,Tech Blogs,12
262,Cross Brimilcombe,Personal,Chef,Canada,Ontario,Keswick,Chromebook,1,Tech Blogs,12
263,Sean Mongin,Business,Game developer,Canada,Ontario,Innisfil,Inspiron,85,Tech Blogs,36
264,Myranda Fennell,Business,Game developer,Canada,Ontario,Hearst,Chromebook,59,Tech Blogs,6
265,Chaddie Lowrie,Business,Game developer,United States,California,Sacramento,Inspiron,24,Tech Blogs,24
266,Zebadiah Farherty,Business,Software Engineer,United States,California,Salinas,XPS,80,Tech Blogs,36
267,Cazzie Hopfner,Personal,Chef,United States,California,San Francisco,Dell Storage,2,Tech Blogs,24
268,Rogerio Glason,Personal,Software Engineer,Canada,Ontario,Keswick,Dell Security,2,Tech Blogs,24
269,Keary Cheeld,Business,Game developer,United States,California,Sacramento,Alienware,98,Social Networks,6
270,Morgan Benito,Personal,Student,United States,California,Sacramento,XPS,1,Tech Blogs,6
271,Pauletta Challenor,Business,Software Engineer,United States,California,Pasadena,Inspiron,24,Tech Blogs,36
272,Arnaldo Southcomb,Business,Game developer,United States,California,San Jose,XPS,89,Tech Blogs,24
273,Foster MacDiarmond,Business,Software Engineer,United States,California,Pasadena,Alienware,93,Tech Blogs,24
274,Chandal Secrett,Business,Game developer,Canada,Ontario,Keswick,Dell Security,66,Tech Blogs,6
275,Taber Gealle,Business,Game developer,Canada,Ontario,Brant,Inspiron,78,Tech Blogs,12
