id,full_name,p_b,job,country,state,city,marketing,series,no_of_units,warranty
62,Yuma Hugill,Business,Chef,United States,California,Stockton,Offline,Servers,75,36
63,Ellery Kitcatt,Business,Software Engineer,United States,California,Long Beach,Offline,Servers,76,24
64,Marlowe Reinhard,Business,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,87,12
65,Brenn Humpherson,Business,Software Engineer,United States,California,San Jose,Offline,Servers,94,36
66,Anastassia Salters,Personal,Student,Canada,Ontario,Little Current,Social Networks,XPS,1,36
67,Raina Maulden,Business,Chef,United States,California,Fullerton,Social Networks,Servers,60,12
68,Bianca Grunguer,Business,Software Engineer,Canada,Ontario,South River,Recommendation,XPS,88,36
69,Gabriela Farlambe,Business,Game developer,United States,California,Sacramento,Offline,Servers,86,12
70,Indira Waller-Bridge,Business,Software Engineer,United States,California,Sacramento,Offline,Servers,78,36
71,Harman Woan,Business,Game developer,Canada,Ontario,Casselman,Tech Blogs,XPS,40,24
72,Gennifer Maraga,Business,Game developer,United States,California,Inglewood,Social Networks,Servers,79,24
73,Misti Mallinar,Business,Student,United States,California,Sacramento,Social Networks,Servers,80,24
74,Dario Oby,Business,Game developer,United States,California,San Diego,Recommendation,Servers,81,12
75,Frank Gomm,Personal,Chef,Canada,Ontario,Waterloo,Tech Blogs,XPS,1,36
76,Boothe Martynikhin,Business,Game developer,Canada,Ontario,Espanola,Offline,XPS,79,6
77,Christiano Grange,Personal,Software Engineer,Canada,Ontario,London,Tech Blogs,XPS,1,36
78,Tobiah Jarrett,Personal,Chef,United States,California,Los Angeles,Tech Blogs,Servers,2,12
79,Ali Dykas,Business,Student,Canada,Ontario,Renfrew,Offline,XPS,53,36
80,Griff Dedman,Business,Chef,Canada,Ontario,Willowdale,Offline,XPS,84,24
81,Nadean Havoc,Personal,Game developer,United States,California,San Jose,Tech Blogs,Servers,2,36
82,Nobie Aslum,Business,Software Engineer,Canada,Ontario,Brampton,Offline,XPS,92,36
83,Clarice Crouse,Personal,Game developer,Canada,Ontario,Mississauga,Recommendation,XPS,2,36
84,Lusa Cornforth,Business,Game developer,Canada,Ontario,Little Current,Offline,XPS,84,12
85,Sylvia Tomsen,Personal,Game developer,Canada,Ontario,Pickering,Tech Blogs,XPS,2,36
86,Allegra McCritichie,Business,Student,United States,California,San Francisco,Offline,Servers,74,12
87,Abbott Cowgill,Personal,Game developer,Canada,Ontario,Petawawa,Offline,XPS,1,36
88,Dominique Jewitt,Personal,Software Engineer,United States,California,Alhambra,Recommendation,Servers,2,12
89,Jazmin Graben,Business,Student,Canada,Ontario,Neebing,Tech Blogs,XPS,73,24
90,Lloyd Chetwind,Personal,Chef,United States,California,San Diego,Social Networks,Servers,1,12
91,Arlie Morfell,Personal,Chef,United States,California,San Diego,Offline,Servers,1,6
92,Samson Penwell,Business,Student,Canada,Ontario,Mattawa,Social Networks,XPS,92,6
93,Tabbi Astall,Business,Chef,United States,California,Sacramento,Recommendation,Servers,24,24
94,Gavra Leroux,Business,Software Engineer,United States,California,San Diego,Social Networks,Servers,42,24
95,Vidovik Heater,Personal,Game developer,United States,California,Los Angeles,Tech Blogs,Servers,2,12
96,Laurens Winspurr,Personal,Chef,United States,California,Chico,Social Networks,Servers,2,36
97,Billy Oakenfull,Business,Software Engineer,United States,California,Fullerton,Recommendation,Servers,38,6
98,Thibaud Lehrle,Business,Student,Canada,Ontario,Barrie,Social Networks,XPS,68,6
99,Juliann Klessmann,Personal,Student,Canada,Ontario,Petrolia,Tech Blogs,XPS,1,6
100,Dory Berrane,Business,Game developer,United States,California,Oakland,Recommendation,Servers,56,24
101,Lorettalorna Huncoot,Personal,Game developer,Canada,Ontario,Smiths Falls,Social Networks,XPS,1,12
102,Kiele Flack,Personal,Software Engineer,United States,California,Garden Grove,Tech Blogs,Servers,1,12
103,Laverne Cotherill,Business,Student,United States,California,Mountain View,Tech Blogs,Alienware,42,12
104,Merrel Dumbar,Business,Game developer,United States,California,San Diego,Offline,Servers,93,36
105,Lyman McQueen,Personal,Software Engineer,Canada,Ontario,Picton,Tech Blogs,XPS,2,12
106,Bryanty Barrett,Business,Chef,United States,California,Santa Monica,Tech Blogs,Servers,69,6
107,Marillin Grabbam,Personal,Student,Canada,Ontario,Stratford,Offline,XPS,2,24
108,Zulema Stanyland,Business,Game developer,United States,California,Oceanside,Recommendation,Alienware,50,12
109,Richart Grewe,Business,Software Engineer,Canada,Ontario,Orangeville,Recommendation,Inspiron,81,36
110,Lorinda Gerardet,Business,Chef,United States,California,San Diego,Social Networks,Servers,32,6
111,Talbot Canceller,Personal,Game developer,United States,California,Sacramento,Offline,Servers,2,24
112,Essie Gennrich,Personal,Software Engineer,United States,California,Pasadena,Tech Blogs,XPS,2,6
113,Kory Burnard,Business,Software Engineer,United States,California,Santa Cruz,Tech Blogs,Servers,34,36
114,Jenine Bayle,Personal,Software Engineer,Canada,Ontario,Greater Napanee,Social Networks,XPS,2,12
115,Elsie Iskower,Personal,Student,Canada,Ontario,Camlachie,Offline,XPS,2,6
116,Tadd Ewence,Personal,Student,Canada,Ontario,Mississauga,Recommendation,XPS,1,24
117,Kittie Hightown,Business,Software Engineer,United States,California,San Diego,Social Networks,Servers,39,12
118,Georgeanna Vedstra,Business,Chef,Canada,Ontario,Petawawa,Tech Blogs,XPS,55,36
119,Jillian Shearston,Personal,Student,United States,California,Sacramento,Offline,Servers,2,6
120,Normie Swadlen,Personal,Student,Canada,Ontario,Ajax,Tech Blogs,XPS,1,6
121,Zachary Pass,Personal,Software Engineer,United States,California,Los Angeles,Tech Blogs,Servers,1,36
122,Lilian Brittian,Personal,Software Engineer,United States,California,San Diego,Social Networks,Servers,2,6
123,Consolata Stuck,Business,Chef,United States,California,Long Beach,Recommendation,Servers,48,24
124,Betta Giacovazzo,Personal,Software Engineer,United States,California,Los Angeles,Tech Blogs,XPS,1,12
125,Starlene Kaiser,Business,Chef,United States,California,Orange,Social Networks,Servers,51,6
126,Cherry Antoniat,Business,Game developer,Canada,Ontario,North Bay,Tech Blogs,XPS,81,36
127,Stanislaw Dani,Business,Student,Canada,Ontario,Windsor,Social Networks,XPS,84,6
128,Pascale Connah,Personal,Game developer,Canada,Ontario,Wingham,Social Networks,XPS,1,24
129,Penni Meneely,Business,Game developer,Canada,Ontario,Little Current,Tech Blogs,XPS,86,6
130,Ardra Withrop,Personal,Student,Canada,Ontario,Petawawa,Offline,XPS,1,12
131,Anallise Grossman,Personal,Game developer,Canada,Ontario,Smiths Falls,Recommendation,XPS,1,12
132,Clayborne Doswell,Business,Software Engineer,Canada,Ontario,Kingston,Tech Blogs,XPS,98,12
133,Sigismondo Boulton,Business,Chef,United States,California,Sacramento,Tech Blogs,Servers,77,36
134,Teriann Kingscott,Personal,Chef,United States,California,Stockton,Offline,Alienware,2,12
135,Bent Foy,Business,Student,United States,California,Carlsbad,Offline,Servers,98,6
136,Ezmeralda Teresse,Business,Game developer,Canada,Ontario,St. Catharines,Recommendation,XPS,55,12
137,Nissy Salle,Personal,Game developer,Canada,Ontario,Keswick,Tech Blogs,XPS,1,36
138,Con Breward,Personal,Software Engineer,United States,California,Fullerton,Recommendation,Servers,2,6
139,Puff Rutgers,Personal,Software Engineer,Canada,Ontario,Ingersoll,Tech Blogs,XPS,2,6
140,Minor Plunkett,Business,Software Engineer,United States,California,Richmond,Tech Blogs,XPS,99,24
141,Katina Smitten,Personal,Software Engineer,United States,California,Long Beach,Offline,Servers,2,24
142,Raviv Crackel,Business,Student,Canada,Ontario,Rayside-Balfour,Social Networks,XPS,20,24
143,Kerk Soans,Business,Student,Canada,Ontario,Greater Napanee,Social Networks,XPS,26,6
144,Elna Nitto,Personal,Chef,United States,California,San Diego,Recommendation,Servers,1,24
145,Hunfredo Haswall,Business,Game developer,United States,California,San Rafael,Social Networks,Servers,87,36
146,Bailey Kilban,Personal,Chef,United States,California,Whittier,Offline,Servers,1,24
147,Lon McAvaddy,Personal,Game developer,United States,California,Sacramento,Recommendation,Servers,1,24
148,Jeremiah Inch,Personal,Game developer,United States,California,Sacramento,Tech Blogs,Servers,1,36
149,Chet Leband,Business,Game developer,United States,California,San Francisco,Offline,Servers,82,12
150,Poul Rignall,Personal,Game developer,United States,California,Inglewood,Social Networks,Servers,1,6
151,Nike Mc Corley,Personal,Game developer,United States,California,Los Angeles,Social Networks,Servers,1,24
152,Cassandry Kalinsky,Personal,Game developer,United States,California,Corona,Social Networks,Servers,2,24
153,Adel Boutellier,Business,Student,United States,California,Petaluma,Tech Blogs,Servers,33,12
154,Thaddeus Ploughwright,Personal,Student,United States,California,San Francisco,Tech Blogs,Servers,2,12
155,Margaretta Tallyn,Personal,Student,United States,California,Garden Grove,Social Networks,Servers,1,36
156,Starlin Gofton,Personal,Game developer,Canada,Ontario,Sarnia,Tech Blogs,Inspiron,1,12
157,Sterling Broadwell,Business,Game developer,United States,California,Sacramento,Tech Blogs,Servers,20,12
158,Alejandro MacGovern,Business,Chef,Canada,Ontario,Belleville,Social Networks,XPS,65,36
159,Margareta Matthewson,Business,Student,United States,California,Glendale,Recommendation,Servers,59,24
160,Chaunce Braunle,Personal,Student,Canada,Ontario,Waterloo,Recommendation,XPS,1,36
161,Cathleen Janson,Personal,Student,United States,California,Los Angeles,Recommendation,Servers,1,6
162,Milicent Upwood,Business,Software Engineer,Canada,Ontario,Lambton Shores,Social Networks,XPS,37,12
163,Joel Lode,Personal,Student,Canada,Ontario,Newmarket,Offline,XPS,2,12
164,Robbie Boyn,Business,Student,United States,California,Sacramento,Recommendation,Servers,86,24
165,Tybie Gres,Business,Chef,Canada,Ontario,Barrie,Recommendation,Alienware,53,36
166,Rica Abram,Personal,Student,United States,California,Sacramento,Recommendation,Servers,2,24
167,Bernetta Work,Business,Software Engineer,Canada,Ontario,Renfrew,Offline,XPS,73,12
168,Katerina Aitcheson,Business,Software Engineer,Canada,Ontario,Milton,Offline,XPS,33,36
169,Bren Gooly,Business,Software Engineer,Canada,Ontario,Barrie,Tech Blogs,XPS,95,12
170,Chrystal Balle,Business,Chef,United States,California,Stockton,Tech Blogs,Servers,89,12
171,Sherill Baysting,Business,Student,United States,California,San Bernardino,Recommendation,XPS,37,12
172,Huntlee Garrud,Business,Game developer,Canada,Ontario,North Bay,Tech Blogs,XPS,91,6
173,Roxine McKinnell,Personal,Chef,United States,California,San Francisco,Tech Blogs,XPS,2,12
174,Glyn Giannassi,Personal,Chef,United States,California,Orange,Social Networks,Servers,1,12
175,Vassili Gerholz,Personal,Chef,United States,California,Sacramento,Tech Blogs,XPS,1,24
176,Riane Deniso,Personal,Software Engineer,United States,California,Whittier,Tech Blogs,Alienware,1,6
177,Celestia Hatwells,Personal,Chef,United States,California,San Jose,Recommendation,Servers,2,36
178,Rowe Smaleman,Business,Chef,United States,California,Los Angeles,Social Networks,Alienware,24,36
179,Tailor Midlar,Personal,Student,Canada,Ontario,Angus,Tech Blogs,XPS,1,36
180,Corey Brabon,Personal,Chef,Canada,Ontario,Milton,Recommendation,XPS,1,12
181,Chad Landis,Business,Game developer,Canada,Ontario,Midland,Tech Blogs,XPS,52,12
182,Stace Barrass,Personal,Chef,United States,California,Garden Grove,Tech Blogs,Servers,1,6
183,Nil Baber,Business,Student,United States,California,Fullerton,Tech Blogs,Servers,59,36
184,Abigail Geratt,Personal,Game developer,United States,California,Long Beach,Offline,Servers,1,24
185,Hillery Pargent,Personal,Chef,Canada,Ontario,Deep River,Social Networks,XPS,2,24
186,Babara Clayson,Personal,Software Engineer,Canada,Ontario,Orangeville,Offline,XPS,1,24
187,Jammal Fiddiman,Business,Chef,Canada,Ontario,Innisfil,Recommendation,XPS,63,12
188,Butch Densun,Personal,Game developer,Canada,Ontario,Bells Corners,Tech Blogs,XPS,2,6
189,Ilysa Calltone,Business,Software Engineer,Canada,Ontario,St. Catharines,Social Networks,XPS,88,6
190,Reube Iffland,Business,Student,Canada,Ontario,Arnprior,Tech Blogs,XPS,85,6
191,Obie Hinchon,Business,Game developer,United States,California,Chico,Offline,Servers,72,36
192,Lydie Ecob,Personal,Chef,United States,California,San Jose,Recommendation,Servers,1,12
193,Giffie Quoit,Personal,Game developer,Canada,Ontario,Delaware,Social Networks,XPS,1,24
194,Morgen Sizey,Personal,Student,United States,California,Van Nuys,Social Networks,Servers,2,36
195,Daveen Girth,Personal,Game developer,United States,California,Inglewood,Recommendation,Servers,1,12
196,Jo Pedley,Personal,Software Engineer,Canada,Ontario,Marathon,Offline,XPS,1,24
197,Winthrop Sumers,Business,Game developer,Canada,Ontario,Neebing,Tech Blogs,XPS,57,24
198,Henry Tanby,Personal,Student,Canada,Ontario,Rayside-Balfour,Tech Blogs,XPS,1,36
199,Gibby Spores,Business,Software Engineer,Canada,Ontario,Pickering,Tech Blogs,XPS,23,24
200,Leigh Merioth,Personal,Game developer,United States,California,Fullerton,Offline,Servers,1,24
201,Brandi Pincked,Business,Software Engineer,Canada,Ontario,Prince Edward,Offline,XPS,100,24
202,Barn Coda,Personal,Game developer,United States,California,Fresno,Recommendation,Servers,1,36
203,Winslow Raggles,Personal,Chef,United States,California,Sacramento,Tech Blogs,Alienware,1,36
204,Joleen Roches,Business,Game developer,Canada,Ontario,Angus,Offline,XPS,56,24
205,Roanne Durno,Personal,Game developer,United States,California,San Diego,Tech Blogs,Servers,2,24
206,Benedikt Turk,Personal,Software Engineer,Canada,Ontario,Sarnia,Social Networks,XPS,2,12
207,Jamil Styche,Business,Game developer,United States,California,Van Nuys,Tech Blogs,XPS,35,36
208,Obadias Howick,Business,Chef,United States,California,Burbank,Offline,Servers,38,24
209,Darb Simper,Business,Game developer,Canada,Ontario,Sarnia,Offline,XPS,21,6
210,Andris Archambault,Business,Game developer,United States,California,San Francisco,Tech Blogs,Servers,70,24
211,Sauncho Drewery,Business,Software Engineer,United States,California,San Francisco,Tech Blogs,Servers,49,6
212,Tiphanie Grinnov,Personal,Software Engineer,United States,California,Sacramento,Social Networks,Servers,2,6
213,Ray Newburn,Personal,Software Engineer,Canada,Ontario,Dorchester,Offline,XPS,1,6
214,Deni Asp,Personal,Student,United States,California,Sacramento,Tech Blogs,Servers,1,24
215,Barret McIndrew,Personal,Game developer,United States,California,San Jose,Tech Blogs,Servers,1,36
216,Pepita Choak,Business,Student,Canada,Ontario,Ingersoll,Recommendation,XPS,31,6
217,Ambrose Lyle,Personal,Game developer,Canada,Ontario,Carleton Place,Recommendation,XPS,2,6
218,Lorne Fayne,Business,Student,United States,California,Sacramento,Tech Blogs,Servers,43,24
219,Robinette Eberle,Personal,Chef,United States,California,Sacramento,Recommendation,Servers,1,6
220,Cherida Dodds,Business,Software Engineer,United States,California,San Jose,Tech Blogs,Servers,26,24
221,Andris Holleran,Business,Chef,Canada,Ontario,Woodstock,Tech Blogs,XPS,76,24
222,Sandra Roomes,Business,Game developer,United States,California,San Jose,Social Networks,Servers,25,12
223,Robert Neighbour,Business,Chef,United States,California,San Diego,Offline,Servers,28,36
224,Ealasaid Senter,Personal,Chef,United States,California,Fresno,Offline,Servers,2,12
225,Debora Fuidge,Business,Software Engineer,United States,California,San Jose,Recommendation,Servers,52,36
226,Pippa Alcoran,Business,Game developer,United States,California,Los Angeles,Recommendation,Servers,24,36
227,Fredericka Tuohy,Business,Game developer,Canada,Ontario,Petawawa,Recommendation,XPS,89,6
228,Renault Metherell,Business,Software Engineer,United States,California,Oakland,Recommendation,Servers,97,12
229,Aigneis Lindenberg,Business,Student,United States,California,Oakland,Social Networks,Servers,65,36
230,Burr Reader,Personal,Game developer,Canada,Ontario,Gananoque,Offline,Inspiron,1,12
231,Rutger MacLardie,Personal,Chef,United States,California,Van Nuys,Recommendation,Servers,2,6
232,Ingra Shevlane,Personal,Game developer,United States,California,Oakland,Social Networks,Servers,1,12
233,Mia Gilbanks,Personal,Game developer,United States,California,Los Angeles,Recommendation,Servers,1,24
234,Marsiella Odell,Business,Software Engineer,Canada,Ontario,Markham,Tech Blogs,XPS,86,24
235,Correna Audry,Personal,Software Engineer,United States,California,Santa Cruz,Recommendation,Servers,1,12
236,Danyelle Hawkett,Business,Software Engineer,Canada,Ontario,North Perth,Social Networks,Alienware,91,12
237,Sol Zanussii,Personal,Software Engineer,United States,California,San Rafael,Offline,Servers,2,6
238,Lorin O'Cullen,Personal,Software Engineer,United States,California,San Jose,Social Networks,Servers,1,36
239,Christy Aronovich,Business,Chef,Canada,Ontario,Mattawa,Social Networks,XPS,25,6
240,Farlee Kinze,Business,Chef,United States,California,Whittier,Social Networks,Servers,90,12
241,Arnold Rebbeck,Business,Software Engineer,United States,California,Whittier,Social Networks,Alienware,86,36
242,Demetra Aubert,Personal,Chef,United States,California,Los Angeles,Tech Blogs,Servers,1,12
243,Ginnie Tranfield,Personal,Software Engineer,United States,California,Corona,Tech Blogs,Alienware,2,24
244,Morse Sutlieff,Personal,Student,Canada,Ontario,Rayside-Balfour,Recommendation,XPS,2,12
245,Germana Leebetter,Personal,Software Engineer,Canada,Ontario,Rayside-Balfour,Offline,XPS,2,6
246,Sharron Whipp,Personal,Student,Canada,Ontario,Oshawa,Tech Blogs,XPS,2,36
247,Brietta Dimsdale,Business,Chef,Canada,Ontario,Brant,Social Networks,XPS,75,12
248,Crichton Archbald,Business,Software Engineer,Canada,Ontario,Newmarket,Social Networks,XPS,21,24
249,Sanson Layne,Personal,Chef,United States,California,Sacramento,Social Networks,Servers,2,12
250,Whitaker Coaster,Business,Game developer,Canada,Ontario,Mississauga,Recommendation,XPS,64,24
251,Ann-marie Calendar,Business,Game developer,United States,California,Inglewood,Social Networks,Servers,25,36
252,Candra Bibb,Personal,Software Engineer,Canada,Ontario,Woodstock,Offline,XPS,2,12
253,Pegeen Bence,Personal,Software Engineer,United States,California,Burbank,Tech Blogs,Servers,1,6
254,Angelita Kaley,Personal,Chef,Canada,Ontario,Wingham,Offline,XPS,2,6
255,Hurleigh Coleshill,Business,Student,United States,California,Whittier,Offline,Servers,42,12
256,Georgia Sturgeon,Business,Software Engineer,Canada,Ontario,Pickering,Recommendation,XPS,97,36
257,Cleopatra McQuode,Personal,Student,United States,California,Los Angeles,Tech Blogs,Servers,2,12
258,Immanuel Rhymer,Personal,Software Engineer,Canada,Ontario,Iroquois Falls,Recommendation,XPS,1,24
259,Rance Keijser,Business,Student,United States,California,Oakland,Offline,Servers,85,36
260,Jeffy Rampling,Personal,Software Engineer,United States,California,Long Beach,Recommendation,Servers,1,36
261,Constantine Habron,Personal,Software Engineer,United States,California,Sacramento,Social Networks,Servers,1,12
262,Nathaniel O'Corhane,Personal,Chef,United States,California,Los Angeles,Social Networks,Servers,2,12
263,Willabella Ikringill,Personal,Chef,United States,California,San Jose,Tech Blogs,Servers,1,36
264,Raeann Goosey,Personal,Software Engineer,Canada,Ontario,Orangeville,Social Networks,XPS,1,24
265,Crin Ashburne,Business,Student,United States,California,Los Angeles,Recommendation,Servers,51,12
266,Pierson Kupper,Personal,Chef,Canada,Ontario,Arnprior,Social Networks,XPS,2,36
267,Lisa Stode,Business,Game developer,United States,California,San Francisco,Social Networks,Servers,99,6
268,Jess Scurry,Business,Game developer,Canada,Ontario,Brant,Social Networks,XPS,97,36
269,Shayne Peniello,Business,Student,United States,California,Pasadena,Recommendation,Servers,81,12
270,Deni Dayborne,Business,Game developer,Canada,Ontario,Greater Napanee,Tech Blogs,XPS,87,12
271,Keven Hebson,Business,Software Engineer,United States,California,Fullerton,Offline,Servers,23,6
272,Jennine Ching,Business,Game developer,United States,California,Fresno,Offline,Servers,20,6
273,Chrissy Tremathick,Personal,Student,United States,California,Mountain View,Social Networks,Servers,2,12
274,Vernen Hulse,Business,Software Engineer,Canada,Ontario,Renfrew,Social Networks,XPS,96,24
275,Ethyl McClaughlin,Business,Game developer,United States,California,Los Angeles,Tech Blogs,Servers,24,6
276,Carita Gregoire,Personal,Software Engineer,Canada,Ontario,Skatepark,Offline,XPS,2,12
277,Scotty Oattes,Personal,Software Engineer,United States,California,San Francisco,Social Networks,Alienware,2,6
278,Allix Carme,Business,Chef,United States,California,Stockton,Recommendation,Servers,28,12
279,Jaquelyn Blinkhorn,Business,Software Engineer,United States,California,Los Angeles,Recommendation,Servers,48,6
280,Adrianne Davidovicz,Business,Software Engineer,Canada,Ontario,Espanola,Recommendation,XPS,27,36
281,Baudoin Quarrell,Business,Software Engineer,United States,California,San Bernardino,Tech Blogs,Servers,34,36
282,Tirrell Brade,Personal,Chef,United States,California,Corona,Recommendation,Servers,2,36
283,Sadye Metcalf,Personal,Game developer,United States,California,Fresno,Tech Blogs,Servers,2,24
284,Paulina Douty,Personal,Chef,United States,California,Garden Grove,Offline,Alienware,1,36
285,Kate Sunnex,Personal,Chef,United States,California,Van Nuys,Social Networks,Servers,2,36
286,Mortie Royl,Personal,Game developer,United States,California,Garden Grove,Recommendation,Servers,1,12
287,Gunar Jindrich,Business,Game developer,United States,California,San Jose,Tech Blogs,Servers,75,12
288,Joy Wilder,Personal,Student,United States,California,Los Angeles,Recommendation,Servers,1,24
289,Aubrey Titcomb,Personal,Software Engineer,Canada,Ontario,Camlachie,Offline,XPS,1,24
290,Portia McCartney,Personal,Chef,Canada,Ontario,Keswick,Recommendation,XPS,1,36
291,Mannie Karlqvist,Business,Chef,Canada,Ontario,Hanover,Tech Blogs,XPS,60,12
292,Tessy Hogsden,Personal,Student,United States,California,San Diego,Offline,Servers,1,24
293,Sasha Mailes,Business,Student,United States,California,Fresno,Social Networks,Servers,46,24
294,Morgun Langelaan,Personal,Chef,United States,California,Santa Barbara,Offline,Alienware,2,36
295,Donovan Spini,Personal,Software Engineer,United States,California,San Francisco,Recommendation,Servers,2,36
296,Christina Stains,Business,Software Engineer,Canada,Ontario,North York,Offline,XPS,60,6
297,Ado Froome,Personal,Chef,United States,California,Los Angeles,Tech Blogs,Servers,1,12
298,Franni Lumly,Personal,Game developer,Canada,Ontario,Casselman,Recommendation,XPS,2,6
299,Renado Lipscomb,Personal,Software Engineer,Canada,Ontario,Lambton Shores,Recommendation,XPS,2,24
300,Karlik Gresly,Personal,Software Engineer,United States,California,Fullerton,Recommendation,Servers,2,36
