id,full_name,p_b,job,country,state,city,series,no_of_units,marketing,warranty
25,Ray Truter,Personal,Game developer,Canada,Ontario,London,Alienware,1,Social Networks,6
26,Kingston Drewitt,Personal,Chef,Canada,Ontario,Barrie,Chromebook,1,Recommendation,12
27,Leshia Chaplain,Personal,Chef,Canada,Ontario,Niagara Falls,Chromebook,1,Tech Blogs,24
28,Marge Giorgielli,Personal,Game developer,Canada,Ontario,Windsor,Alienware,2,Recommendation,36
29,Ganny Cluelow,Personal,Game developer,Canada,Ontario,Stratford,Alienware,2,Tech Blogs,36
30,Christophorus Brimicombe,Business,Software Engineer,United States,California,San Jose,Alienware,36,Offline,24
31,Zelma Matteoli,Personal,Student,United States,California,Inglewood,Inspiron,2,Tech Blogs,24
32,Angus McClinton,Personal,Software Engineer,United States,California,Los Angeles,XPS,1,Offline,12
33,Jennee Dorwood,Business,Game developer,United States,California,San Francisco,XPS,58,Tech Blogs,12
34,Sigismund Sanbroke,Business,Game developer,United States,California,Pasadena,Alienware,92,Tech Blogs,12
35,Leonanie Deabill,Personal,Chef,Canada,Ontario,Iroquois Falls,Chromebook,1,Social Networks,12
36,Rey Covolini,Personal,Chef,Canada,Ontario,Angus,XPS,1,Tech Blogs,36
37,Griffin Goley,Personal,Chef,United States,California,Bakersfield,Chromebook,1,Social Networks,12
38,Hayward Albrook,Personal,Software Engineer,Canada,Ontario,Mississauga,Alienware,1,Social Networks,36
39,Gaspar Coomber,Personal,Software Engineer,Canada,Ontario,Mississauga,XPS,1,Offline,6
40,Laney De Haven,Personal,Chef,United States,California,Oakland,Chromebook,2,Offline,6
41,Phyllis Balharrie,Business,Software Engineer,United States,California,Oceanside,Servers,39,Tech Blogs,6
42,Aline Circuit,Personal,Game developer,United States,California,Los Angeles,Alienware,1,Social Networks,12
43,Aleen Flello,Business,Chef,Canada,Ontario,Ingersoll,Chromebook,82,Social Networks,12
44,Kamilah Roffey,Business,Chef,Canada,Ontario,Timmins,Chromebook,31,Social Networks,6
45,Oralie Trunchion,Personal,Game developer,Canada,Ontario,Brant,Alienware,2,Offline,36
46,Pall Dibb,Business,Chef,Canada,Ontario,Stratford,Chromebook,31,Offline,24
47,Kimbra Dows,Personal,Chef,Canada,Ontario,Iroquois Falls,Chromebook,2,Tech Blogs,6
48,Isak Greveson,Personal,Software Engineer,Canada,Ontario,Keswick,Servers,2,Social Networks,36
49,Vally Mourant,Business,Software Engineer,Canada,Ontario,Camlachie,XPS,21,Offline,12
50,Barde Howle,Personal,Software Engineer,United States,California,San Francisco,Servers,1,Recommendation,12
51,Kassi Morgen,Business,Game developer,Canada,Ontario,Mississauga,Alienware,92,Tech Blogs,12
52,Mel Shallcross,Business,Game developer,United States,California,San Diego,Alienware,26,Tech Blogs,12
53,Erinn Kordovani,Business,Software Engineer,United States,California,Inglewood,Alienware,47,Offline,36
54,Dedie Bromige,Business,Chef,Canada,Ontario,Concord,Chromebook,62,Recommendation,12
55,Damon Caddan,Business,Chef,United States,California,Los Angeles,Servers,77,Tech Blogs,36
56,Peterus Bretherton,Personal,Software Engineer,United States,California,Simi Valley,Alienware,2,Tech Blogs,6
57,Chan Southey,Business,Chef,Canada,Ontario,Concord,Chromebook,62,Offline,12
58,Ashby Yorke,Business,Software Engineer,Canada,Ontario,Thessalon,XPS,92,Offline,6
59,Nye Emmanuele,Personal,Game developer,United States,California,Bakersfield,Alienware,1,Recommendation,6
60,Jerri Loyley,Business,Chef,Canada,Ontario,Fort Erie,Chromebook,89,Social Networks,12
61,Roseanne Munns,Personal,Chef,Canada,Ontario,North York,Chromebook,2,Social Networks,36
62,Vanya Pylkynyton,Business,Software Engineer,Canada,Ontario,Barrie,XPS,88,Recommendation,6
63,Shaun Saggs,Business,Student,Canada,Ontario,Angus,XPS,27,Tech Blogs,6
64,Tomaso Jacquot,Business,Software Engineer,Canada,Ontario,Bancroft,XPS,20,Offline,36
65,Margeaux Gaukroger,Business,Chef,United States,California,Oakland,Chromebook,86,Tech Blogs,24
66,Fidelity Connor,Personal,Software Engineer,United States,California,San Rafael,Servers,1,Social Networks,6
67,Constantine Kimmitt,Business,Software Engineer,Canada,Ontario,Thessalon,XPS,73,Tech Blogs,36
68,Luz Clarage,Business,Student,Canada,Ontario,Greater Napanee,Chromebook,89,Offline,24
69,Georges Synke,Business,Chef,Canada,Ontario,South River,Chromebook,98,Recommendation,36
70,Ancell Cumo,Business,Software Engineer,United States,California,San Rafael,XPS,82,Recommendation,12
71,Yovonnda Curlis,Business,Game developer,United States,California,Sacramento,Inspiron,27,Social Networks,24
72,Konrad Prater,Personal,Game developer,Canada,Ontario,Newmarket,Alienware,1,Offline,6
73,Caro Petrie,Personal,Chef,Canada,Ontario,Smiths Falls,Chromebook,2,Offline,6
74,Gina McGowran,Business,Chef,United States,California,Bakersfield,Chromebook,25,Social Networks,24
75,Farica Jakubovsky,Personal,Student,United States,California,Orange,Inspiron,1,Social Networks,24
76,Nomi Flemming,Personal,Chef,United States,California,Los Angeles,Chromebook,2,Recommendation,36
77,Gallard Mackiewicz,Business,Software Engineer,Canada,Ontario,Napanee Downtown,XPS,34,Social Networks,24
78,Jillian Wykey,Personal,Software Engineer,United States,California,San Francisco,XPS,2,Recommendation,6
79,Melva Backen,Business,Game developer,Canada,Ontario,Omemee,Alienware,92,Tech Blogs,12
80,Vernon Hiner,Personal,Chef,United States,California,Los Angeles,Chromebook,2,Social Networks,12
81,Huberto Heisham,Personal,Student,Canada,Ontario,Hearst,Inspiron,1,Tech Blogs,6
82,Willy Stonman,Business,Student,United States,California,Pasadena,Inspiron,62,Social Networks,24
83,Leslie Symcox,Personal,Game developer,United States,California,San Diego,XPS,1,Recommendation,24
84,Beverlee Annakin,Personal,Game developer,United States,California,Oakland,Alienware,2,Tech Blogs,12
85,Dillie Nutbeem,Personal,Chef,United States,California,Sacramento,Chromebook,1,Offline,36
86,Merla Baiyle,Business,Game developer,United States,California,Los Angeles,Alienware,84,Social Networks,36
87,Raviv Crombleholme,Business,Chef,United States,California,San Diego,Chromebook,21,Social Networks,24
88,Casar Troughton,Business,Game developer,United States,California,San Francisco,Alienware,94,Tech Blogs,36
89,Michael MacDermott,Business,Student,Canada,Ontario,Ajax,Inspiron,48,Tech Blogs,24
90,Malia Tosspell,Business,Software Engineer,United States,California,Los Angeles,XPS,41,Offline,36
91,Iggie Whybrow,Business,Chef,United States,California,San Diego,Chromebook,79,Tech Blogs,12
92,Melisenda Buttress,Personal,Student,Canada,Ontario,Dorchester,Inspiron,2,Recommendation,24
93,Kristal Caddies,Personal,Chef,United States,California,Sacramento,Inspiron,2,Social Networks,12
94,Zulema Edmonston,Personal,Chef,Canada,Ontario,Angus,Chromebook,2,Tech Blogs,36
95,Jamie Dutnell,Business,Game developer,Canada,Ontario,Atikokan,Alienware,81,Social Networks,24
96,Mortie Worms,Personal,Game developer,United States,California,Los Angeles,Alienware,1,Social Networks,12
97,Maxi Pariso,Personal,Chef,United States,California,San Jose,Chromebook,2,Recommendation,12
98,Dacy Lindholm,Business,Student,United States,California,Fresno,Inspiron,52,Recommendation,36
99,Maxim Burlay,Business,Chef,United States,California,San Bernardino,Chromebook,91,Tech Blogs,6
100,Guenna Thomasson,Business,Student,Canada,Ontario,North York,Inspiron,41,Social Networks,12
101,Ursola Coniff,Personal,Software Engineer,Canada,Ontario,Innisfil,XPS,1,Recommendation,6
102,Faydra Measey,Personal,Software Engineer,Canada,Ontario,Arnprior,Servers,2,Tech Blogs,6
103,Daveen Kellert,Personal,Software Engineer,Canada,Ontario,Mississauga,Alienware,2,Tech Blogs,36
104,Iolanthe Harcus,Business,Student,Canada,Ontario,Toronto,Inspiron,98,Recommendation,24
105,Wenda Armes,Personal,Game developer,United States,California,Sacramento,Alienware,1,Recommendation,12
106,Roseann Broadey,Business,Student,United States,California,San Bernardino,Inspiron,95,Recommendation,36
107,Murvyn Grinsted,Personal,Student,Canada,Ontario,Newmarket,Inspiron,1,Tech Blogs,36
108,Jayson Balassa,Business,Student,Canada,Ontario,Windsor,Inspiron,32,Tech Blogs,36
109,Packston Cobelli,Business,Game developer,United States,California,Sacramento,Alienware,50,Recommendation,24
110,Aarika Ruston,Business,Game developer,Canada,Ontario,Woodstock,XPS,35,Recommendation,12
111,Bowie Lynnett,Personal,Chef,Canada,Ontario,Ajax,Chromebook,2,Tech Blogs,24
112,Sibel Nation,Personal,Student,United States,California,Petaluma,Chromebook,1,Tech Blogs,6
113,Amelie Scrase,Business,Student,United States,California,San Francisco,Inspiron,48,Offline,36
114,Melicent Brisland,Business,Software Engineer,United States,California,Long Beach,Alienware,58,Offline,24
115,Glen Moger,Business,Chef,United States,California,Long Beach,Chromebook,76,Social Networks,6
116,Henriette Camili,Business,Game developer,Canada,Ontario,Dorchester,Alienware,58,Offline,36
117,Kipp Iddiens,Personal,Chef,Canada,Ontario,Dorchester,Chromebook,1,Recommendation,36
118,Filmore O' Quirk,Personal,Software Engineer,United States,California,Fullerton,XPS,2,Recommendation,36
119,Devlen Warlaw,Personal,Chef,United States,California,San Jose,Chromebook,1,Social Networks,12
120,Tandy Debow,Business,Software Engineer,United States,California,Garden Grove,XPS,65,Social Networks,36
121,Maximilian Lodin,Personal,Student,Canada,Ontario,Prince Edward,Inspiron,1,Offline,12
122,Marcy Barnard,Business,Student,Canada,Ontario,Midland,Inspiron,65,Offline,12
123,Gilda Menendes,Business,Game developer,United States,California,San Diego,Alienware,62,Social Networks,6
124,Rosaline Iggulden,Business,Game developer,Canada,Ontario,Collingwood,Alienware,49,Offline,24
125,Orland Liddall,Business,Game developer,Canada,Ontario,Arnprior,Alienware,58,Offline,36
126,Ailene Gitsham,Personal,Software Engineer,Canada,Ontario,Ottawa,XPS,2,Social Networks,6
127,Mendel Pottle,Business,Software Engineer,Canada,Ontario,Pembroke,Alienware,30,Recommendation,6
128,Annie Lambie,Personal,Student,United States,California,Sacramento,Inspiron,2,Tech Blogs,12
129,Mercedes Stride,Personal,Software Engineer,United States,California,San Francisco,XPS,1,Tech Blogs,6
130,Engracia Elderidge,Business,Student,United States,California,Fullerton,Inspiron,76,Recommendation,36
131,Klarrisa Beardwood,Business,Software Engineer,Canada,Ontario,Arnprior,XPS,61,Offline,24
132,Morna Lampet,Personal,Software Engineer,United States,California,San Francisco,Servers,1,Offline,36
133,Marga Phittiplace,Personal,Game developer,United States,California,Fresno,Alienware,1,Offline,6
134,Frederick Pagitt,Personal,Student,Canada,Ontario,Waterloo,Inspiron,2,Recommendation,24
135,Ulrica Kattenhorn,Business,Game developer,Canada,Ontario,Willowdale,Alienware,30,Tech Blogs,36
136,Nanny Lydon,Business,Student,United States,California,Richmond,Inspiron,36,Social Networks,6
137,Waiter Insko,Business,Game developer,United States,California,Palmdale,Alienware,31,Recommendation,6
138,Rutger Wilacot,Business,Student,United States,California,Los Angeles,Inspiron,33,Offline,36
139,Sibby Searjeant,Business,Software Engineer,United States,California,San Francisco,Alienware,85,Tech Blogs,12
140,Elspeth Ardern,Business,Student,United States,California,San Diego,XPS,41,Recommendation,24
141,Kiersten Hilary,Business,Chef,Canada,Ontario,Keswick,Chromebook,31,Offline,12
142,Briano Gothliff,Personal,Game developer,United States,California,San Diego,XPS,1,Offline,24
143,Dre Lesper,Business,Game developer,United States,California,San Diego,XPS,68,Social Networks,6
144,Maurizia Behnecken,Personal,Software Engineer,Canada,Ontario,Brant,XPS,1,Offline,36
145,Sayre Haggarty,Personal,Chef,United States,California,San Jose,Chromebook,1,Offline,24
146,Corabella Santo,Personal,Game developer,United States,California,San Bernardino,Alienware,1,Recommendation,36
147,Ambrosio O'Kinneally,Personal,Chef,United States,California,Los Angeles,Chromebook,1,Recommendation,36
148,Lucius Whelpton,Business,Software Engineer,United States,California,Burbank,XPS,26,Tech Blogs,36
149,Tobit Sapsford,Business,Student,United States,California,San Diego,Inspiron,25,Recommendation,12
150,Sheilakathryn Bliss,Personal,Chef,Canada,Ontario,Fort Erie,Chromebook,2,Offline,6
151,Cassandra Roust,Personal,Student,Canada,Ontario,Oakville,Chromebook,1,Social Networks,6
152,Averell Gash,Business,Software Engineer,United States,California,Anaheim,XPS,45,Recommendation,12
153,Bernie Sankey,Business,Chef,United States,California,Corona,Chromebook,59,Social Networks,24
154,Yvonne Emlin,Personal,Game developer,United States,California,Sacramento,Alienware,1,Social Networks,24
155,Lavinia Goschalk,Personal,Software Engineer,Canada,Ontario,Mississauga,Alienware,1,Social Networks,24
156,Ole Prandini,Business,Chef,United States,California,San Jose,Chromebook,77,Tech Blogs,36
157,Gwynne Pauli,Personal,Chef,United States,California,Alhambra,Chromebook,1,Recommendation,24
158,Emmy Kenwright,Personal,Software Engineer,United States,California,Los Angeles,Alienware,2,Recommendation,12
159,Eliza Collis,Personal,Chef,Canada,Ontario,Napanee Downtown,Chromebook,2,Offline,6
160,Penny Place,Personal,Chef,Canada,Ontario,Kingston,Chromebook,1,Social Networks,6
161,Teodor Castellone,Personal,Student,United States,California,San Diego,Inspiron,2,Recommendation,6
162,Cathe Marcinkowski,Business,Chef,United States,California,Los Angeles,Chromebook,26,Offline,12
163,Nicoline Blodget,Personal,Student,United States,California,Garden Grove,Inspiron,2,Offline,24
164,Fleming Gronous,Business,Game developer,United States,California,Newport Beach,Alienware,49,Social Networks,36
165,Sebastiano Presdee,Business,Chef,Canada,Ontario,Dorchester,Chromebook,94,Recommendation,36
166,Roderic Marrow,Personal,Game developer,United States,California,Sacramento,Alienware,1,Recommendation,6
167,Vladimir Durston,Business,Chef,United States,California,Orange,Chromebook,32,Social Networks,12
168,Leonelle Martin,Business,Chef,Canada,Ontario,Windsor,Chromebook,53,Recommendation,24
169,Caroljean Emer,Personal,Student,United States,California,San Diego,Inspiron,2,Offline,6
170,Lind Inett,Business,Software Engineer,United States,California,Pasadena,XPS,53,Tech Blogs,36
171,Rudolfo Arrell,Personal,Game developer,United States,California,Los Angeles,Alienware,1,Tech Blogs,36
172,Hyacinthia Wind,Business,Chef,United States,California,San Jose,Chromebook,94,Social Networks,24
173,Walden Lavrick,Personal,Chef,Canada,Ontario,Stratford,Chromebook,2,Social Networks,24
174,Donavon Dowzell,Business,Software Engineer,United States,California,San Rafael,Servers,36,Recommendation,12
175,Care Heelis,Business,Chef,United States,California,Los Angeles,Alienware,45,Offline,12
176,Felike Wellard,Personal,Chef,United States,California,Fresno,Chromebook,2,Recommendation,12
177,Bellanca Twine,Business,Software Engineer,United States,California,Sacramento,Alienware,33,Social Networks,36
178,Preston Cavozzi,Business,Game developer,Canada,Ontario,Renfrew,XPS,96,Offline,24
179,Sandy Skells,Business,Student,United States,California,Santa Monica,Inspiron,25,Recommendation,6
180,Andre Falls,Personal,Game developer,Canada,Ontario,Markham,Alienware,1,Tech Blogs,12
181,Parke Castagnaro,Personal,Student,Canada,Ontario,Espanola,Inspiron,1,Offline,24
182,Halimeda Mallalieu,Personal,Game developer,Canada,Ontario,Stratford,Alienware,2,Offline,36
183,Miguelita Napoleon,Business,Software Engineer,United States,California,Palmdale,XPS,30,Recommendation,6
184,Ethelda Wakes,Business,Game developer,Canada,Ontario,Collingwood,Alienware,41,Offline,12
185,Janeta Seifenmacher,Personal,Game developer,United States,California,Los Angeles,Alienware,2,Offline,36
186,Itch Ninnotti,Personal,Software Engineer,United States,California,Richmond,Alienware,1,Social Networks,36
187,Heath Arnholtz,Personal,Software Engineer,Canada,Ontario,Woodstock,XPS,1,Offline,6
188,Vernor Brundale,Business,Software Engineer,United States,California,Orange,XPS,34,Tech Blogs,36
189,Koralle Dorran,Business,Student,Canada,Ontario,Barrie,XPS,50,Recommendation,36
190,Carmelina Smead,Business,Software Engineer,United States,California,Sacramento,XPS,32,Tech Blogs,36
191,Cassie Dermot,Personal,Student,United States,California,Oakland,Inspiron,2,Social Networks,12
192,Suzie Staines,Business,Chef,Canada,Ontario,Hanover,Chromebook,74,Recommendation,6
193,Brandais Baudic,Business,Game developer,United States,California,San Rafael,XPS,54,Recommendation,6
194,Sergio Zanetti,Business,Game developer,United States,California,Torrance,Alienware,20,Social Networks,6
195,Sherri Blanque,Personal,Software Engineer,United States,California,San Diego,XPS,1,Offline,24
196,Kerry Gaitskill,Business,Game developer,Canada,Ontario,Pickering,XPS,45,Offline,6
197,Kyle Habershaw,Personal,Chef,United States,California,San Diego,Chromebook,1,Offline,36
198,Salomon Fishbourne,Personal,Game developer,United States,California,Fresno,Alienware,1,Social Networks,6
199,Kenneth Jeeks,Business,Game developer,Canada,Ontario,Fort Erie,Alienware,73,Offline,6
200,Ketti Cullabine,Personal,Chef,United States,California,Glendale,Chromebook,2,Tech Blogs,36
201,Laurene Odby,Personal,Chef,United States,California,Glendale,Chromebook,1,Offline,12
202,Angelika Sowersby,Personal,Chef,United States,California,Oakland,Chromebook,2,Social Networks,36
203,Kayley Nolte,Personal,Chef,Canada,Ontario,Kirkland Lake,Chromebook,1,Tech Blogs,36
204,Pepito Jeannesson,Personal,Student,United States,California,Fresno,Inspiron,1,Offline,36
205,Randy Conyer,Personal,Software Engineer,Canada,Ontario,Casselman,Servers,2,Recommendation,24
206,Ive Bewsey,Personal,Student,Canada,Ontario,Port Colborne,Inspiron,2,Social Networks,12
207,Sascha Montier,Personal,Chef,Canada,Ontario,Innisfil,Chromebook,1,Offline,6
208,Blane Antoniewski,Personal,Software Engineer,United States,California,Los Angeles,Alienware,2,Recommendation,6
209,Seymour Regitz,Business,Student,United States,California,Inglewood,Inspiron,93,Offline,6
210,Raffarty Kiehnlt,Personal,Game developer,United States,California,Inglewood,XPS,2,Tech Blogs,12
211,Alvira Fallon,Business,Chef,United States,California,San Francisco,Chromebook,91,Offline,6
212,Natasha Roelofs,Business,Chef,Canada,Ontario,Vaughan,Chromebook,37,Recommendation,12
213,Wyatan Catling,Personal,Student,United States,California,Santa Cruz,Chromebook,2,Tech Blogs,36
214,Milissent Baldcock,Business,Software Engineer,United States,California,Fresno,XPS,37,Recommendation,24
215,Lauralee Bohike,Personal,Game developer,United States,California,Inglewood,Inspiron,1,Tech Blogs,24
216,Martita Bourne,Business,Game developer,United States,California,Simi Valley,Alienware,64,Offline,12
217,Klara Battson,Personal,Chef,Canada,Ontario,Skatepark,Chromebook,1,Tech Blogs,24
218,Shoshana Augur,Personal,Chef,Canada,Ontario,Kitchener,Chromebook,1,Tech Blogs,6
219,Cristin Backes,Personal,Chef,United States,California,Carlsbad,Chromebook,2,Social Networks,24
220,Bernetta Brunker,Personal,Chef,United States,California,San Jose,Alienware,2,Offline,12
221,Stormi Macconaghy,Business,Student,Canada,Ontario,Brant,Inspiron,38,Recommendation,12
222,Marabel Minister,Personal,Student,United States,California,Pasadena,Alienware,1,Tech Blogs,36
223,Ronnica Shires,Business,Software Engineer,United States,California,Sunnyvale,XPS,21,Recommendation,12
224,Yulma Bautiste,Personal,Game developer,United States,California,Whittier,Alienware,2,Offline,36
225,Carolann Hanburry,Business,Software Engineer,United States,California,Corona,XPS,69,Recommendation,24
226,Lawrence Freen,Personal,Student,United States,California,San Jose,Inspiron,2,Recommendation,24
227,Jacqui Crosse,Business,Game developer,Canada,Ontario,Picton,Alienware,32,Tech Blogs,36
228,Marris Wilmot,Personal,Student,United States,California,Glendale,Inspiron,2,Recommendation,6
229,Rafael Foran,Personal,Student,Canada,Ontario,Deep River,Inspiron,2,Offline,24
230,Faye Siberry,Personal,Chef,United States,California,Santa Rosa,Chromebook,1,Tech Blogs,24
231,Ginevra Myner,Personal,Student,United States,California,Bakersfield,Inspiron,2,Tech Blogs,12
232,Tildie Procter,Business,Game developer,Canada,Ontario,Vaughan,XPS,74,Recommendation,12
233,Jerrilee Fonquernie,Personal,Game developer,Canada,Ontario,Renfrew,Alienware,1,Tech Blogs,6
234,Lyell Broseman,Personal,Student,United States,California,San Francisco,Alienware,1,Tech Blogs,24
235,Thane Lynd,Personal,Student,Canada,Ontario,Woodstock,Chromebook,1,Tech Blogs,24
236,Jasmina Bourne,Personal,Game developer,United States,California,Fresno,Alienware,1,Offline,6
237,Fara Dufoure,Personal,Student,United States,California,Pasadena,Inspiron,1,Tech Blogs,36
238,Kent Tarte,Personal,Game developer,United States,California,Sacramento,Alienware,2,Tech Blogs,12
239,Berty Abotson,Business,Game developer,United States,California,Corona,Alienware,43,Tech Blogs,24
240,Jed Watterson,Business,Student,Canada,Ontario,Petrolia,Inspiron,91,Offline,12
241,Jorgan Semark,Business,Software Engineer,United States,California,Oakland,XPS,38,Tech Blogs,6
242,Hyman Gunter,Business,Game developer,Canada,Ontario,Petrolia,Inspiron,45,Social Networks,24
243,Culver Tatford,Business,Game developer,Canada,Ontario,Willowdale,XPS,24,Tech Blogs,36
244,Dillie Norcross,Business,Chef,Canada,Ontario,Oakville,Chromebook,98,Social Networks,12
245,Ingeberg Dikles,Personal,Software Engineer,Canada,Ontario,Willowdale,XPS,2,Tech Blogs,12
246,Sioux Phant,Personal,Game developer,Canada,Ontario,Prince Edward,Alienware,2,Recommendation,24
247,Ceil Lodewick,Personal,Chef,United States,California,Oakland,Chromebook,1,Social Networks,12
248,Jay Lockey,Business,Game developer,United States,California,Sacramento,Alienware,91,Social Networks,12
249,Shalom McNess,Business,Game developer,United States,California,Santa Ana,XPS,47,Offline,24
250,Rebe Karpf,Business,Chef,United States,California,San Diego,Chromebook,27,Tech Blogs,36
251,Elliot Yvens,Personal,Student,United States,California,Los Angeles,Inspiron,1,Offline,12
252,De witt Aleksic,Personal,Software Engineer,United States,California,Los Angeles,XPS,1,Offline,36
253,Rolf Clynman,Personal,Student,Canada,Ontario,Iroquois Falls,Inspiron,1,Social Networks,24
254,Jack Sayburn,Personal,Software Engineer,Canada,Ontario,Angus,XPS,2,Tech Blogs,36
255,Lida Roelvink,Business,Software Engineer,Canada,Ontario,Skatepark,Alienware,20,Offline,6
256,Lucho Spedding,Personal,Software Engineer,Canada,Ontario,Marathon,Servers,2,Recommendation,12
257,Charo Josifovitz,Personal,Student,United States,California,Huntington Beach,Inspiron,1,Social Networks,12
258,Erich Muncie,Business,Chef,Canada,Ontario,Milton,Chromebook,50,Recommendation,36
259,Dominica Stolberger,Business,Game developer,United States,California,Pasadena,XPS,62,Tech Blogs,24
260,La verne Gronow,Personal,Game developer,United States,California,San Rafael,XPS,1,Offline,24
261,Judd Tommaseo,Business,Chef,United States,California,Los Angeles,Chromebook,36,Recommendation,12
262,Felic Mecchi,Personal,Chef,Canada,Ontario,Aylmer,Chromebook,1,Offline,36
263,Hasty Herreran,Personal,Software Engineer,United States,California,Chico,XPS,2,Recommendation,36
264,Morgan Alexandersen,Personal,Student,United States,California,Sacramento,Inspiron,1,Recommendation,6
265,Felix Sabine,Personal,Software Engineer,Canada,Ontario,Windsor,Servers,1,Offline,36
266,Mabel Pruckner,Personal,Game developer,United States,California,Corona,Alienware,2,Social Networks,12
267,Chance Melhuish,Personal,Software Engineer,United States,California,Newport Beach,XPS,2,Tech Blogs,12
268,Harlene Charnick,Business,Software Engineer,United States,California,Los Angeles,Servers,85,Tech Blogs,6
269,Biddie Filisov,Personal,Student,United States,California,San Francisco,Inspiron,2,Offline,24
270,Verine Childers,Personal,Student,United States,California,Fresno,Inspiron,2,Social Networks,24
271,Emanuel Mews,Personal,Game developer,United States,California,Pasadena,Alienware,1,Social Networks,36
272,Donalt Featherstonhaugh,Personal,Student,United States,California,Long Beach,Inspiron,2,Social Networks,36
273,Laurella Jantet,Personal,Student,United States,California,Inglewood,Inspiron,1,Tech Blogs,36
274,Brendin Dubarry,Personal,Game developer,United States,California,San Rafael,Servers,2,Recommendation,24
275,Taddeusz Murray,Personal,Software Engineer,United States,California,San Francisco,XPS,1,Recommendation,6
276,Belva Pietrowski,Business,Chef,Canada,Ontario,Prince Edward,Chromebook,86,Recommendation,24
277,Sandra Cowley,Business,Student,Canada,Ontario,Bancroft,Inspiron,57,Recommendation,12
278,Bartie Hailey,Business,Game developer,United States,California,Van Nuys,Alienware,93,Social Networks,36
279,Corly Allridge,Business,Chef,United States,California,Los Angeles,Chromebook,74,Social Networks,24
280,Ora Jaynes,Personal,Game developer,Canada,Ontario,Renfrew,Alienware,1,Tech Blogs,12
281,Clement Yanuk,Personal,Student,Canada,Ontario,Concord,Inspiron,1,Social Networks,12
282,Logan Frail,Personal,Chef,United States,California,Los Angeles,Chromebook,1,Tech Blogs,12
283,Rocky Eseler,Business,Software Engineer,Canada,Ontario,Deep River,XPS,52,Tech Blogs,6
284,Wolfy Braham,Business,Chef,United States,California,Corona,Chromebook,46,Offline,36
285,Webb Isakowicz,Business,Game developer,Canada,Ontario,Orangeville,Alienware,27,Tech Blogs,6
286,Reagan Pree,Business,Software Engineer,United States,California,San Diego,XPS,39,Tech Blogs,24
287,Lilyan Domonkos,Personal,Chef,United States,California,Burbank,Chromebook,2,Recommendation,36
288,Adela Linger,Business,Student,Canada,Ontario,Prince Edward,Inspiron,83,Tech Blogs,36
289,Clareta Hellewell,Personal,Game developer,Canada,Ontario,London,Alienware,2,Recommendation,6
290,Ludvig Pickrell,Personal,Chef,Canada,Ontario,St. Catharines,Chromebook,1,Tech Blogs,36
291,Raina Treswell,Personal,Game developer,United States,California,Long Beach,Alienware,1,Offline,36
292,Nerte McVie,Business,Student,United States,California,Whittier,Inspiron,90,Offline,6
293,Jada Lints,Business,Student,Canada,Ontario,Espanola,Inspiron,58,Tech Blogs,12
294,Patsy Castro,Business,Student,United States,California,Van Nuys,Inspiron,25,Offline,12
